                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.45427,                0.34486,                0.93876,                0.92345,                0.86563,                0.94436,                0.78245,                0.82227,                0.53338,                 1.0362,              0.0001497,              0.0001497,              0.0001497
                    141,                0.45176,                0.34968,                0.94195,                0.91469,                0.87882,                0.94714,                0.77635,                0.82393,                0.57058,                 1.0284,             0.00014838,             0.00014838,             0.00014838
                    142,                0.45108,                 0.3424,                0.94042,                0.91732,                0.85819,                0.94585,                0.78062,                0.83313,                0.56779,                 1.0303,             0.00014707,             0.00014707,             0.00014707
                    143,                0.45131,                0.33231,                0.93101,                0.91544,                0.87626,                0.94485,                0.78975,                0.80492,                0.54273,                 1.0134,             0.00014575,             0.00014575,             0.00014575
                    144,                0.44408,                0.34238,                0.93461,                0.90561,                 0.8764,                0.93749,                0.77722,                0.78325,                0.56081,                 1.0028,             0.00014443,             0.00014443,             0.00014443
                    145,                 0.4539,                0.34159,                  0.946,                0.90842,                0.89144,                0.94148,                0.78618,                0.76631,                 0.5521,                0.99185,             0.00014311,             0.00014311,             0.00014311
                    146,                0.44529,                0.33651,                0.93879,                0.93474,                0.89218,                0.94096,                0.77978,                0.81038,                0.51748,                 1.0272,             0.00014179,             0.00014179,             0.00014179
                    147,                0.44211,                0.34052,                0.94326,                0.92959,                0.85097,                0.93541,                0.78709,                0.76976,                0.54967,                  1.003,             0.00014047,             0.00014047,             0.00014047
                    148,                 0.4443,                0.34249,                0.94365,                 0.9312,                0.85523,                0.93498,                0.78289,                0.76635,                0.54667,                 0.9989,             0.00013915,             0.00013915,             0.00013915
                    149,                 0.4459,                0.33333,                0.94053,                0.93973,                0.86378,                0.93179,                0.77882,                0.78366,                0.54157,                 1.0051,             0.00013784,             0.00013784,             0.00013784
                    150,                0.44253,                0.33654,                0.93799,                0.93523,                0.86431,                0.93877,                0.78018,                0.80075,                0.55185,                 1.0151,             0.00013652,             0.00013652,             0.00013652
                    151,                0.45402,                0.34002,                0.94648,                0.90894,                0.86818,                0.93067,                0.77338,                0.79899,                0.55616,                 1.0115,              0.0001352,              0.0001352,              0.0001352
                    152,                0.43795,                0.33063,                0.94014,                0.90799,                0.87994,                0.93073,                0.77502,                  0.786,                0.56248,                 1.0067,             0.00013388,             0.00013388,             0.00013388
                    153,                0.44427,                0.33616,                0.94218,                0.92061,                0.87298,                0.92736,                0.77281,                0.79464,                0.56078,                 1.0158,             0.00013256,             0.00013256,             0.00013256
                    154,                0.43846,                 0.3282,                 0.9323,                0.90906,                0.87688,                0.92652,                0.77815,                0.77882,                0.57015,                0.99913,             0.00013124,             0.00013124,             0.00013124
